Date,Typhoons,Super Typhoons,Fatalities,Total Typhoons,ACE
199812,8,3,924,11,152.9
199912,5,1,976,6,109.9
200012,13,4,467,17,252.9
200112,16,3,1193,19,307.3
200212,15,8,725,23,390.6
200312,14,5,360,19,337.4
200412,19,6,2435,25,480.6
200512,13,4,629,17,309.9
200612,15,6,3886,21,321.3
200712,14,5,463,19,219.5
200812,11,3,1965,14,178.4
200912,13,5,2348,18,278.1
201012,7,1,384,8,121.4
201112,8,4,3111,12,189.7
201212,14,4,2486,18,302.3
201312,13,5,6836,18,276.3
201412,11,8,572,19,277.8
201512,18,9,349,27,462.9
201612,13,6,942,19,261.9
201712,11,2,853,13,169.4
201812,13,7,793,20,361.6
201912,17,5,453,22,276.8
202012,10,2,457,12,152.8
202112,9,5,585,14,209.6
202212,10,3,498,13,163.2
202312,10,4,191,14,268.5
